CRASH_RECORD_ID,CRASH_DATE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME
732cdc53cedacf12dd12d6dd96552c1d211e235664666740c817fcd5d1f10e32091ba922105c75ad0d6aa1b4eaf44e031dae01f0614a7a9587f1bc318991a3c8,2020-11-28 16:30:00,V,11,2020,16:30:00
732cdc53cedacf12dd12d6dd96552c1d211e235664666740c817fcd5d1f10e32091ba922105c75ad0d6aa1b4eaf44e031dae01f0614a7a9587f1bc318991a3c8,2020-11-28 16:30:00,V,11,2020,16:30:00
91d33ffb2462012f0678b66a66833eeb22f6c18ca0bb021367380652bb1003bc1e06828d12bb72f300ee277f93e79a73748e6b12e28ebb6b3beecea76910d051,2020-11-28 16:00:00,V,11,2020,16:00:00
91d33ffb2462012f0678b66a66833eeb22f6c18ca0bb021367380652bb1003bc1e06828d12bb72f300ee277f93e79a73748e6b12e28ebb6b3beecea76910d051,2020-11-28 16:00:00,V,11,2020,16:00:00
91d33ffb2462012f0678b66a66833eeb22f6c18ca0bb021367380652bb1003bc1e06828d12bb72f300ee277f93e79a73748e6b12e28ebb6b3beecea76910d051,2020-11-28 16:00:00,V,11,2020,16:00:00
0648301487afae747de408e81076c2ebed3a7265049b4cfba3f439395e25bd0d03da44d396b3996d2ef281e71794dd059dd04598bc0b53ef96776b065e4302e7,2020-11-28 16:50:00,V,11,2020,16:50:00
b1ba69a75e11eb83e9c66a2b3d040ad184dec884e4463a74a2cf02b8bff084e6c1cde695815860df73610c96ce33218f19e46a78cc7715d2bd40161d9bbbee6c,2016-11-22 22:00:00,V,11,2016,22:00:00
0648301487afae747de408e81076c2ebed3a7265049b4cfba3f439395e25bd0d03da44d396b3996d2ef281e71794dd059dd04598bc0b53ef96776b065e4302e7,2020-11-28 16:50:00,V,11,2020,16:50:00
56e433324e23a637b4006debac6893b99ce60e969fa8f27455f0bb5b1ac51d67034df230c86a56105958a6287da77c9a0680ac351ed4692bf0a418906e8d127b,2020-11-28 14:24:00,V,11,2020,14:24:00
c3c51f383c9b4771f941dfeae99a780ce37aa929dec4dd267f78b234e6dbd7cb50a543e5bf24c0975786292fd706f178eb4161b03b16c4bf3661b74a0f00f282,2020-11-28 16:38:00,V,11,2020,16:38:00
c3c51f383c9b4771f941dfeae99a780ce37aa929dec4dd267f78b234e6dbd7cb50a543e5bf24c0975786292fd706f178eb4161b03b16c4bf3661b74a0f00f282,2020-11-28 16:38:00,V,11,2020,16:38:00
d02461110448fa11848110829e59c0c278101ac28cf69496c4ade325905fe9b90dd703bb3c0c9c085d596e5e1928452593f2b7eed820fe252b6ff26992ebf622,2020-11-28 17:30:00,V,11,2020,17:30:00
d02461110448fa11848110829e59c0c278101ac28cf69496c4ade325905fe9b90dd703bb3c0c9c085d596e5e1928452593f2b7eed820fe252b6ff26992ebf622,2020-11-28 17:30:00,V,11,2020,17:30:00
ab18b67c797f69d768f9932171b5d60c743056f3f49d830ad94e277fdeb3a827da8f8b546b7914d872419f21959fcf0906bc798c87db61dac0fba5449789ee28,2020-11-27 14:50:00,V,11,2020,14:50:00
ab18b67c797f69d768f9932171b5d60c743056f3f49d830ad94e277fdeb3a827da8f8b546b7914d872419f21959fcf0906bc798c87db61dac0fba5449789ee28,2020-11-27 14:50:00,V,11,2020,14:50:00
13213c87a8209dfce2bbe5de9bff482289b5b3b4577fb834bdd7e6c91f09435c2c251260592314334d4e06f7a472901d3c2ef7751889cdf2b055bb4ac11d8eba,2020-11-28 15:52:00,V,11,2020,15:52:00
13213c87a8209dfce2bbe5de9bff482289b5b3b4577fb834bdd7e6c91f09435c2c251260592314334d4e06f7a472901d3c2ef7751889cdf2b055bb4ac11d8eba,2020-11-28 15:52:00,V,11,2020,15:52:00
248762f83495cc13e0fe51aa9841e47bd8d140eed9946e34652349a488f71db39b396029db3a25191f5bbee07c4793e2401eb689e3c6bb69d8d98a669890698d,2015-11-01 01:20:00,V,11,2015,01:20:00
b1ba69a75e11eb83e9c66a2b3d040ad184dec884e4463a74a2cf02b8bff084e6c1cde695815860df73610c96ce33218f19e46a78cc7715d2bd40161d9bbbee6c,2016-11-22 22:00:00,V,11,2016,22:00:00
b322152fc37719962001955fb5c188d0292c1c766377407bf57b7e7c21fee69755e5e557f4c99350ff9d0942387c917ac9602f0a3c29bd3a3e97ef3f05482037,2020-11-28 17:01:00,V,11,2020,17:01:00
9f7e379f77e051e8039d1a680765aadaa3a16a0e4519b6722ff44ef00fb373a3e38aa82b89f25412adbe8be99aef9bd1c0b0a6180a38723dad68d9f6b1710f3e,2020-11-28 16:50:00,V,11,2020,16:50:00
9f7e379f77e051e8039d1a680765aadaa3a16a0e4519b6722ff44ef00fb373a3e38aa82b89f25412adbe8be99aef9bd1c0b0a6180a38723dad68d9f6b1710f3e,2020-11-28 16:50:00,V,11,2020,16:50:00
8146e74e006f168213cefd5163372413b7c014c3df6c841c16d0f431a3a95989f896a05b92dd1277d54bdf92a3cccdc0bf293103a82b5d866f8117c041d13820,2020-11-28 17:25:00,V,11,2020,17:25:00
8146e74e006f168213cefd5163372413b7c014c3df6c841c16d0f431a3a95989f896a05b92dd1277d54bdf92a3cccdc0bf293103a82b5d866f8117c041d13820,2020-11-28 17:25:00,V,11,2020,17:25:00
e6d025c79a7e2c59a3b1c972fb52bf3b53aa520f480ae00b3571373f97d157cb956d744b86dca21c0f5cec15bc35838044b5cf6ce7e6f86c08a2363e4cc36d76,2020-11-28 17:10:00,V,11,2020,17:10:00
e6d025c79a7e2c59a3b1c972fb52bf3b53aa520f480ae00b3571373f97d157cb956d744b86dca21c0f5cec15bc35838044b5cf6ce7e6f86c08a2363e4cc36d76,2020-11-28 17:10:00,V,11,2020,17:10:00
