CRASH_RECORD_ID,CRASH_DATE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME,LATITUDE,LONGITUDE,LOCATION,ZIPCODE
e811708dd65c9c3acab38aaa9524a930baecd48d9b6442db5a85bef4f3a6a64643bbd50e80060ee4ce371645bbb8f0ed7223fb704f6b6f1e9cffca0e072d84ba,2023-10-03 16:30:00,C,10,2023,16:30:00,41.793378954,-87.584053824,POINT (-87.584053824031 41.793378954013),
470645bf976c37d22720633750135ded4e54f282323cdaeaf03c12358fc6c60f28f6bd5b3abc0019c59750a8c7d3f56a22919add2da44b14cebc1d97c9ef8363,2023-08-18 14:21:00,C,8,2023,14:21:00,41.889202826,-87.754690285,POINT (-87.754690284742 41.889202826034),
3e4110a89b2628c88aeadcaec5e6c28eb6a49814198ed5126523c1734e3fd4b47792afec6e6b4c8e75d48e99c4c81088613ea9fb55cfe4bd971ad1ce7a304054,2023-10-19 13:30:00,C,10,2023,13:30:00,41.823362238,-87.644960464,POINT (-87.644960464021 41.823362237986),
ea940a153cf8c1c8b418c0207b696482f17e0167a71b685f43c71cebd624f31a8288bf8e0b910207e7c745bbe763c327e7d9eb7564b7b81cca3fff77e4ce5918,2023-11-11 19:20:00,C,11,2023,19:20:00,41.9703179,-87.714857634,POINT (-87.714857634044 41.970317900045),
f1123a3e7a382ae383131353fc38900ac49e3a4cf24ea335b33a93b37ee5b5c2734e5cae1843d6f941d4f0ec0844a8e79e55e5ed5d59ea9865063f3cfca9598f,2023-11-26 11:40:00,C,11,2023,11:40:00,41.746710362,-87.65742424,POINT (-87.657424239974 41.746710362028),
f2fe50170996d36aa561496ed5fa3fa9473f279a6ccb034154fed09e6c03211c079e8ea73f73d577c851da69dbefafbb4b6598824605a764d7a9cc0d13383d39,2023-06-10 17:20:00,C,6,2023,17:20:00,41.932340448,-87.657302969,POINT (-87.657302968994 41.932340447992),
f2e8540d266733b21b7b971a4fdf0ffea6b0ab6973bf59ab9f681b07b80f7e5b46d805099ea58039c3b34ed765b4034592ac1783f34679fc3dd0b6840e53483e,2023-03-08 11:00:00,C,3,2023,11:00:00,41.983563915,-87.657146291,POINT (-87.657146290975 41.983563914975),
e17910cd63f075d82964b3920078bdc814166df7b2cc955803da4fcff9544382adcd223db7be76d62757760724f14233a2b69b410b139815f34706cd51a11046,2023-07-28 18:55:00,C,7,2023,18:55:00,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042),
485aa9bbe7cd686dccb8ee20f5b50bdd3622f1d8e2c6f0ec6a90bc931f79e35d6aa59736bb03ca66d0f664c728388afada6dab381cd5983a09cc2263fd19849b,2023-08-14 17:30:00,C,8,2023,17:30:00,41.780008277,-87.625522512,POINT (-87.625522511916 41.780008277408),
e0a6742e3f9eb6755b45e8e21b3911b7af0d1d6ed64ec5e1ff23fa1fa542f1e2f7f38fbba8566406c88c1ebb2e9c493bf7881c4597dde791608eecf3c6687775,2023-07-02 16:00:00,C,7,2023,16:00:00,41.793378954,-87.584053824,POINT (-87.584053824031 41.793378954013),
6b09bb52f3ddc17bb26ec26af5091b810bede5bb3fde9f0931a36ed96a082a7b11148d94c4fbe9e2cfc5586e818885059d32b7c64a8a3314b9f3ce5cb97f3793,2023-09-25 20:26:00,C,9,2023,20:26:00,41.907805467,-87.672648089,POINT (-87.672648089139 41.907805467115),
435a251566de351ed095daa3cdd73372b473488852a38e6207226f56f604b7f6e3416fa2ee9715b45b0bc2fdaebba219889bace1d6d7a5f28cbcadf24a397058,2023-08-30 13:00:00,C,8,2023,13:00:00,41.733795495,-87.555012022,POINT (-87.55501202181 41.733795495497),
df83fe1703dc8134e6f93a9dcff424ab48397f17b6b11942ecedb12a838972437bf0334c0612f4cb39b382a65ac576ac47c922d0187c271342e5ae4a8d64d3f2,2023-05-11 08:45:00,C,5,2023,08:45:00,41.721267719,-87.584839485,POINT (-87.584839485043 41.721267718978),
6afe9831caf46d3422847d9f038ecd2ac868965001357926c4b7dde615b54e10c2fd3938904b21e623efa4c08429af146bb8777edb7f50adad954f0edd01062a,2023-01-14 14:42:00,C,1,2023,14:42:00,41.994227432,-87.690850547,POINT (-87.690850547434 41.994227432186),
a9fc68e5f307ce207cf644c86292f2ffee2013fb2eca62c7666ab1ddf3da1982c251a17e0e977ea88f3d2f5a33eec54d933c214953481beacbe5655e6f0e0499,2023-11-26 16:00:00,C,11,2023,16:00:00,41.799575049,-87.782175036,POINT (-87.782175035966 41.799575048987),
f38de1cddd52655259c7d4808c7a05f3f9949b0040a34b32dae354cb76d0868fa2e7f39aa093bccb05ad7ee5f6a38fa52b65248a25e662c7a03aa8abe087b8cf,2023-05-17 18:52:00,C,5,2023,18:52:00,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042),
6d12ca544fd72ab87109a161eecfe52dedefc170632db5036edd7509a6e2eebe39b46510dd29fa524c8a5ee157ffa122d1d7f04f09f62861947ad491f58ee2f0,2023-07-29 09:20:00,C,7,2023,09:20:00,41.778748906,-87.692018535,POINT (-87.692018534733 41.778748906416),
43c272e99b1c0078ca12571d40b1e90fb4523c7d956cbca49d5f9e68116b7fd2f95f25ae8765e18b2382a927f9f928db09f070869d65cf1c32998601af71a6d1,2023-05-15 17:00:00,C,5,2023,17:00:00,41.734026633,-87.653138185,POINT (-87.653138185344 41.734026633253),
64f40c0f02f2c64c914a212b0f522129d1e001a97e5a3e712a952b697ff683f3184746d0f6a66c28cd14998ed9aba0cacc408e01772e674dbf7c21cef03931bf,2023-11-26 12:55:00,C,11,2023,12:55:00,41.909669676,-87.765481309,POINT (-87.765481309016 41.909669676006),
4b7382b9a2581487527a129ad68839d394ee43976e20d7e04a76293787d630f81372a28ad6933993275c2999095b33d8be4525ce86e21a7a307a4a359a76d78d,2023-06-09 17:30:00,C,6,2023,17:30:00,41.950060306,-87.712661799,POINT (-87.712661798585 41.950060306088),
6c52b477971fd9a7a803508134db7eb4fdfe52e9a497199d0fb7872b4ad158949004685b29efda00d7d3ce26f7cb1b949dbc02ca2d98c320af5661362ec2953b,2023-03-05 19:00:00,C,3,2023,19:00:00,41.866545544,-87.684012457,POINT (-87.684012457202 41.866545543646),
f30d12febec0dd0fb714d744cd2612c45c05c63eb28a49924baf1faef96812d8275b42a97709715c3a7de2879dbea5c70200be0956996627673eb8db8f9a892b,2023-07-15 10:40:00,C,7,2023,10:40:00,41.877396272,-87.690169856,POINT (-87.690169855967 41.877396271993),
4adb25a19b5349da66a29a258f4a2635ee557728f667d88a09414f081817820bc126138647ded2ff97bf35e11c41a42dc8c6f25a0faf1705e16ddf1f829eb45f,2023-04-16 00:00:00,C,4,2023,00:00:00,41.694466124,-87.710840758,POINT (-87.710840758221 41.694466124243),
4ab840c241c9530ce3d2cdfde09991d3652154e1177244a4d48e6d411d6e22fc7c9cc79bdfd990ac9270f4b084ed83acc9b7a508477d78c3a389c6e55d96671d,2023-02-01 07:15:00,C,2,2023,07:15:00,41.717450058,-87.630828798,POINT (-87.630828797991 41.717450058195),
441efdbe15be57f613344ebe0b7ba1c7b885affd5b92be221f5300a57d4aa18eca6bea777611167d98c796b7df59694e7d0a3e4244b359f6b075f9d1a06d340c,2023-05-04 09:10:00,C,5,2023,09:10:00,41.977975386,-87.692718062,POINT (-87.692718062104 41.977975386088),
12a189eea69843fd15f061beffcf9e10131f9c72c3cb9351fc986284f8e7766abb0c2c98bce045ee0418bcdc92628c8317ccd7c23d1bcb673ca816c819e06e3e,2023-12-24 09:45:00,C,12,2023,09:45:00,41.880556614,-87.637168587,POINT (-87.637168587045 41.880556614042),
6bca4a104586697c22fb0ce0e82d8627b092653f91c005ebf569829ed72033dbae15c708e68075a9903885f93cfb5a055ce573fb8ab799fef38e12d6e2c707ae,2023-09-16 13:02:00,C,9,2023,13:02:00,41.774800045,-87.60873117,POINT (-87.608731170301 41.774800045247),
95c87806eb42f5a5b120745ca3cb0cfd7f5c127f4d4be07e24910a0a189645a60a5cb72b36a6a4dca383bdfdb1cbc9fad6ff0b1eefe5f8df9b66dfb2196c1789,2023-10-03 07:56:00,C,10,2023,07:56:00,41.968272983,-87.715117487,POINT (-87.715117486979 41.968272982952),
f6085c606f60a0c013f0894a1d100b2f8f60c3d5f2b5de408c47cd9f0cde4c51f7f0103d3aae6a0ca59b528be8617a24629b3e0ebb3da9d2ced49db715ea6813,2023-06-28 22:45:00,C,6,2023,22:45:00,41.990853025,-87.675780234,POINT (-87.675780233996 41.990853024988),
b6fee098a2f61d7b8747df29a6efa72ce54f2f4c35e31db5980343c7e1f80087cf082c372b0d0497c39b9a101618359c8ae5358765be197bf408c573ef1e1984,2023-12-09 00:55:00,C,12,2023,00:55:00,41.871950357,-87.627383083,POINT (-87.627383083038 41.871950357015),
df0add052fc5b7420df5daea355010bf58d3a584ece6d250edea7b30e5d3d6e200ea59c0917843b16c175e3d0ce73e23e7b144250582c577208e244a523782c6,2023-01-02 11:30:00,C,1,2023,11:30:00,41.799892524,-87.734409004,POINT (-87.734409004029 41.799892524005),
c5a7d6296c0a4a9f1b9b5395cde11cbf22a8d2075e56fdbbe9b88b1dbcf04b774bb7d9dd1861016e5afb032170d36fee02f7c17a3313fa5856240315878cc189,2023-11-25 03:44:00,C,11,2023,03:44:00,41.772492963,-87.636698589,POINT (-87.636698589002 41.772492962978),
49d645faa69f02836503a15f41ccb8d73b9c0a069b1071acdfd52018b3de174a7f1c7e3fb7e94384f1ca7cf8624cff018aaaac3071be18376a508593be5f6084,2023-12-17 08:14:00,C,12,2023,08:14:00,41.900134254,-87.619250482,POINT (-87.619250482035 41.900134254418),
a7cf7a32576ac3c9aa90c9313da05616309420b906d851d0a2f047e16810d0365f1d098059e79b4e9add5379b20d675d30c4798423a7ca75a4b5a742b8ebc69f,2023-10-03 18:55:00,C,10,2023,18:55:00,41.871374327,-87.675972838,POINT (-87.675972837973 41.871374327018),
495c61a2543c737d1c94cfe96deeb44faf9c5408bdd3e22b7ce2ab706a6569d0b1d3573f72f835c53cf131104abb241e541394ad47f47a8ab72a1e8d07a2f4d8,2023-07-03 13:00:00,C,7,2023,13:00:00,41.809628698,-87.607369738,POINT (-87.607369737858 41.809628697878),
23d6b38f0604161fb7714ab148b84de128a793d0e6c8519c5cb0461f93f9758f287ad996298796f6086b8b21a45e8ed2ec27378aeb9f83ad37a261d97664e060,2023-11-26 17:56:00,C,11,2023,17:56:00,41.74579217,-87.635369997,POINT (-87.63536999702 41.745792169991),
4689c5b2d61e656d96f74395d13ccc4acc235f18d26394a3a4c953bd0e2a6fa353ad3ed9ee58826831b3c25bce3ab4c73d1fcf0a8cb6c8462160875c43ea6ae9,2023-03-16 21:59:00,C,3,2023,21:59:00,41.861948835,-87.63922114,POINT (-87.639221139667 41.86194883473),
f47cdb3b3727dbe050f504359a529554fe1110c3bd1989263bc0bb9837d39f120fde9a4e5bffb5301165ad9e599933b243601921f68adbd5bc6c37b38190bc93,2023-03-15 08:40:00,C,3,2023,08:40:00,41.969593156,-87.689782076,POINT (-87.689782075955 41.969593155969),
4952cd2431f161c1647ef839a7953f34d6b12f6f2a244fae6739a06f6519d7fa11eebe0df957666405769e306d987e1da84fb3703aa6117fec17bb15b4fbd1c0,2023-08-04 11:00:00,C,8,2023,11:00:00,41.870836141,-87.724837722,POINT (-87.724837722203 41.870836140723),
eae9004b69e5c5e3c6c0b4b457bd87139307971ee797467d71737e3507d0a37e7a62825a5ad492e96644a3708d23fe5c070810769a3c51293d9f9a936e9d7ae6,2023-12-09 17:07:00,C,12,2023,17:07:00,41.741803599,-87.740953582,POINT (-87.740953581987 41.741803598989),
43da051f90c9cb7628bc6bb4c3bc53d25f5fa4887183376a3bc16e26bd16e18643a2176c3d408242e5817236b193d4af66badd2a6961615fe38ff79d71a4d92e,2023-09-26 16:10:00,C,9,2023,16:10:00,41.778722488,-87.726486874,POINT (-87.726486873604 41.778722488434),
