CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,REPORT_TYPE,DATE_POLICE_NOTIFIED,LATITUDE,LONGITUDE,LOCATION,Crash_Type
c2c7b03d776ed73c9c68fa16e639b67ec936859bbdd299f5013e4063528e82e67dbc54cf09588a0828d2cb36bdeb4adfcb439a3b48d0e4f6d5a13d4fb4606b8a,09/24/2023 10:25:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/24/2023 11:00:00 AM,41.830728826,-87.655813252,POINT (-87.655813252029 41.830728825995),C
91b3ca4b114a3f3dcb34cfd42e02e8e1fd0ccfaf1983e8439b69e199fb1248b6ee4b597f46eff24ae05421b85f8a6a5985982c7e4eb5eae49e74a131cb08538e,08/01/2023 04:30:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/01/2023 06:45:00 PM,41.931607951,-87.697755776,POINT (-87.697755776035 41.931607951049),C
a5148efd1daca1a75626ac46aa374cbedc7dc7c39188e6656bd42bf981e8c7e696b99bcff37c41b8444e91049ce86853dd5eaf153a76249f7b560bd6072fa435,08/01/2023 01:00:00 AM,UNKNOWN,"DARKNESS, LIGHTED ROAD",UNKNOWN,NOT ON SCENE (DESK REPORT),08/01/2023 10:30:00 AM,41.773455972,-87.585022352,POINT (-87.585022352022 41.773455972008),C
e6cafda32fd9282b52f7f352176b5ded3f75a164fd489deb2d49ea3e3a6e3e6fdce416f9d130532be43baf222857d24b86765e991132e822f98ef4280a1917dd,08/21/2023 02:30:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/21/2023 02:46:00 PM,41.975355803,-87.65189745,POINT (-87.651897449989 41.975355802966),C
f788f1dbf0f0f5473e1bc495f32798c503c106d0ff795ffae3c43a4da26ef7e8b65c052e8b31a2bc89ca6f6b8ca736160ca06546ae2d2779c7b6d86a52406487,08/01/2023 06:15:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/01/2023 07:30:00 PM,41.720909446,-87.676688567,POINT (-87.676688567013 41.720909446007),C
2535355d96f75047afe866ec848126deede3e85b693b96bfeacfa117e0e0e571c115cff9fd08756bee151cd7ee0ff597775b1b61e9802084b464d46afa4f5410,09/20/2023 10:30:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/21/2023 05:39:00 PM,41.718240663,-87.640850003,POINT (-87.640850002967 41.718240662967),C
17824bcc2cc803d863595c4895618697c37e95bb8445847df2284c1d77ba5169a00f3b68f391714bdcf62de156d0456456e4e786b406e3dec380aeec0bffad3f,09/05/2023 06:05:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/05/2023 07:40:00 PM,41.853925003,-87.691105149,POINT (-87.691105148972 41.853925002995),C
466a8d64ee53ada7a647e93de65a54fed5458d087c7a1fedb4812c85e60a6c3dc71ed1febce6862a049fcdacbb98ee50f1f5957eb0fc8e87455f8c2f28435934,08/15/2023 06:50:00 PM,CLEAR,DAYLIGHT,UNKNOWN,NOT ON SCENE (DESK REPORT),08/15/2023 07:37:00 PM,41.9461579,-87.656576302,POINT (-87.656576302048 41.946157900045),C
b04f80dbab0e1aca77264c29988808826526b54f27dda6039d73f349a7b9b38e7f331b0cb4f7293e62336a4cc768074492a3085e4f85782e6282e9172aa0d409,08/16/2023 02:51:00 AM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,ON SCENE,08/16/2023 03:05:00 AM,41.950676839,-87.643784743,POINT (-87.64378474303 41.950676838996),C
1427cd0702d2529d261cfe3cdd8b3c44fd19d4b3b768344470890dee906251fbd20ff350799174ecfe993f887afc61b10d03d44c307cf33f48e4e8ee1aa7ae13,08/16/2023 07:00:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/16/2023 07:30:00 AM,41.891011447,-87.666996498,POINT (-87.666996498025 41.891011446962),C
758c4e911c8c5dfc0553aa3d039d1ddaca56db5ec6fb2a4bc26608b6af8e4d7026a6badf30c48c43754c1c2bb348e19ce650f3d238bb4a32d1638540cd19f1eb,08/22/2023 03:50:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/22/2023 06:01:00 PM,41.73525899,-87.721597599,POINT (-87.721597599006 41.735258990001),C
252143a7033e30525c01f82fe4e0587ee5a635ef898b1a7075fc022fe2bb1ab8827ec55be029dca895a411ba824ba81ec73a42f06d28e2661784a276dc86e5eb,08/02/2023 08:53:00 PM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,ON SCENE,08/02/2023 08:53:00 PM,41.830728826,-87.655813252,POINT (-87.655813252029 41.830728825995),C
8ed87c3f666945c630ddb1bbb69fc080edcf5c059c3227c4da654e580ddfe722c53af4ecba1b909054a30301283dd4dad6ea14b06b1d04e9b880167d11babc83,09/08/2023 03:35:00 PM,CLEAR,DAYLIGHT,WET,ON SCENE,09/08/2023 03:41:00 PM,41.706714203,-87.653813468,POINT (-87.653813467968 41.706714202986),C
