CRASH_RECORD_ID,CRASH_DATE,VEHICLE_ID,PERSON_TYPE,ZIPCODE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME
0471d392a958a0fabaed931ee563b8228cedce40c426ba32c8a7c099dcf396a575ce1e71ad8a22fdf2f888bbba2b5dc99dd4c2f49b6b047ac8c716b37dd3f90f,2020-02-23 18:22:00,805359.0,DRIVER,60612,P,2,2020,18:22:00
0471d392a958a0fabaed931ee563b8228cedce40c426ba32c8a7c099dcf396a575ce1e71ad8a22fdf2f888bbba2b5dc99dd4c2f49b6b047ac8c716b37dd3f90f,2020-02-23 18:22:00,805363.0,DRIVER,60649,P,2,2020,18:22:00
cfcba2d95759c585d01df85e9f8408247e30090094f500e7793b4954803f0037b2f20e664386f743470b8dd9ed18fc5e3051be20daaf6fdceb82bffe269f4640,2020-02-23 18:22:00,805362.0,DRIVER,60609,P,2,2020,18:22:00
343f56c14e824e3e10b59cb9c9f15811fd417f5ea2492deacabd186b12a9f41567cd0625c178e4dab25d171955e536ddd45c2306629984bb51963925ecceb265,2020-05-02 11:00:00,835308.0,DRIVER,60525,P,5,2020,11:00:00
bca52a367d2f053f3a338c9199261b11b245fb00db3b9ece86b6af6cf7a955c835dc1b8d69f640c093b81a3ee5834826c9fac04c5fdfabc623d010e2cb761425,2022-03-25 05:10:00,1239150.0,DRIVER,60641,P,3,2022,05:10:00
bca52a367d2f053f3a338c9199261b11b245fb00db3b9ece86b6af6cf7a955c835dc1b8d69f640c093b81a3ee5834826c9fac04c5fdfabc623d010e2cb761425,2022-03-25 05:10:00,1239154.0,DRIVER,60651,P,3,2022,05:10:00
ad540890753eea75c569779c5b35c5005e5f716aa923ab2d33b63e506544ee9f4ac771b6c14dcfad378ab6f71e0d985d8832e32a9a168e5d5aa94e8dfdba166a,2022-03-25 04:54:00,1239156.0,DRIVER,60076,P,3,2022,04:54:00
333437e5d862419154c01b6583c662385867e7efc8faf88959c5ec0340030976819fe3f7d535ab49248db14e89d438c2855b887d83c70ace161f5e299af6726f,2022-03-25 05:47:00,1239155.0,DRIVER,70563,P,3,2022,05:47:00
068e1ab19b8049e2186c1a8bea33e4651bb30b7f04d846625eb9a99f0611cf348d74ab0080a4fb9ce54f5e3d3f7886a4882d82fa9a9ad221a3c5ca5e641da1aa,2022-03-25 05:20:00,1239162.0,DRIVER,46383,P,3,2022,05:20:00
1f86bcd0d38e41c44373a0b3197669ad39625c8d028f28f8769619c2b4a57f8719909bdc4ccd7a1801b16e4c9cfaa6e9c1330af6ec48f537f55aa0b18a18ca8e,2020-02-21 17:00:00,805421.0,DRIVER,61701,P,2,2020,17:00:00
